nuts_code,country,region,spi,gdp_per_capita_2022
AT11,AT,Burgenland,65.95,23.613595706618963
AT12,AT,Niederösterreich,66.7,29.87477638640429
AT13,AT,Wien,69.54,43.02325581395349
AT21,AT,Kärnten,67.69,31.3953488372093
AT22,AT,Steiermark,68.03,32.28980322003578
AT31,AT,Oberösterreich,66.43,37.74597495527728
AT32,AT,Salzburg,67.64,45.08050089445438
AT33,AT,Tirol,68.92,38.19320214669052
AT34,AT,Vorarlberg,67.89,44.63327370304115
BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,59.02,61.98568872987477
BE21,BE,Prov. Antwerpen,72.79,42.84436493738819
BE22,BE,Prov. Limburg (BE),72.27,26.923076923076923
BE23,BE,Prov. Oost-Vlaanderen,74.12,32.200357781753134
BE24,BE,Prov. Vlaams-Brabant,75.09,40.608228980322
BE25,BE,Prov. West-Vlaanderen,71.63,33.4525939177102
BE31,BE,Prov. Brabant Wallon,62.58,46.422182468694096
BE32,BE,Prov. Hainaut,53.83,18.51520572450805
BE33,BE,Prov. Liège,59.11,22.719141323792485
BE34,BE,Prov. Luxembourg (BE),56.32,17.88908765652952
BE35,BE,Prov. Namur,57.73,20.39355992844365
BG31,BG,Severozapaden,28.84,0.0
BG32,BG,Severen tsentralen,31.95,0.3577817531305903
BG33,BG,Severoiztochen,33.37,1.6100178890876566
BG34,BG,Yugoiztochen,24.72,3.041144901610018
BG41,BG,Yugozapaden,38.91,11.001788908765652
BG42,BG,Yuzhen tsentralen,32.67,0.7155635062611807
CY00,CY,Kýpros,52.82,19.58855098389982
CZ01,CZ,Praha,69.42,45.34883720930232
CZ02,CZ,Střední Čechy,60.03,12.701252236135955
CZ03,CZ,Jihozápad,61.01,11.180679785330948
CZ04,CZ,Severozápad,56.46,7.8711985688729875
CZ05,CZ,Severovýchod,62.3,10.912343470483004
CZ06,CZ,Jihovýchod,63.52,13.506261180679786
CZ07,CZ,Střední Morava,60.56,11.0912343470483
CZ08,CZ,Moravskoslezsko,56.62,10.554561717352415
DE11,DE,Stuttgart,65.37,43.64937388193202
DE12,DE,Karlsruhe,67.35,37.0304114490161
DE13,DE,Freiburg,65.66,31.216457960644007
DE14,DE,Tübingen,67.94,36.76207513416816
DE21,DE,Oberbayern,71.77,52.50447227191413
DE22,DE,Niederbayern,66.48,33.36314847942755
DE23,DE,Oberpfalz,69.22,36.135957066189626
DE24,DE,Oberfranken,66.25,31.216457960644007
DE25,DE,Mittelfranken,68.02,37.74597495527728
DE26,DE,Unterfranken,67.06,33.631484794275494
DE27,DE,Schwaben,68.88,32.200357781753134
DE30,DE,Berlin,70.58,35.77817531305904
DE40,DE,Brandenburg,61.69,23.52415026833632
DE50,DE,Bremen,67.02,43.38103756708408
DE60,DE,Hamburg,64.53,61.53846153846154
DE71,DE,Darmstadt,70.84,44.09660107334526
DE72,DE,Gießen,70.59,27.101967799642217
DE73,DE,Kassel,69.88,28.89087656529517
DE80,DE,Mecklenburg-Vorpommern,64.91,21.82468694096601
DE91,DE,Braunschweig,67.96,38.7298747763864
DE92,DE,Hannover,68.48,31.216457960644007
DE93,DE,Lüneburg,64.94,21.73524150268336
DE94,DE,Weser-Ems,66.96,28.801431127012524
DEA1,DE,Düsseldorf,67.96,34.52593917710197
DEA2,DE,Köln,70.59,35.3309481216458
DEA3,DE,Münster,67.34,27.101967799642217
DEA4,DE,Detmold,69.13,31.305903398926656
DEA5,DE,Arnsberg,67.16,27.99642218246869
DEB1,DE,Koblenz,66.23,26.29695885509839
DEB2,DE,Trier,67.42,22.361359570661897
DEB3,DE,Rheinhessen-Pfalz,68.27,33.72093023255814
DEC0,DE,Saarland,65.79,27.45974955277281
DED2,DE,Dresden,65.56,25.491949910554563
DED4,DE,Chemnitz,63.8,22.003577817531305
DED5,DE,Leipzig,65.07,27.01252236135957
DEE0,DE,Sachsen-Anhalt,58.25,23.25581395348837
DEF0,DE,Schleswig-Holstein,65.45,26.74418604651163
DEG0,DE,Thüringen,65.61,22.450805008944545
DK01,DK,Hovedstaden,82.28,73.25581395348837
DK02,DK,Sjælland,73.73,28.17531305903399
DK03,DK,Syddanmark,75.91,40.69767441860465
DK04,DK,Midtjylland,81.05,42.84436493738819
DK05,DK,Nordjylland,79.32,35.95706618962433
EE00,EE,Eesti,68.86,16.547406082289804
EL30,EL,Attiki,53.77,15.831842576028622
EL41,EL,Voreio Aigaio,58.23,3.041144901610018
EL42,EL,Notio Aigaio,56.55,9.928443649373882
EL43,EL,Kriti,59.5,7.06618962432916
EL51,EL,"Anatoliki Makedonia, Thraki",45.68,4.740608228980322
EL52,EL,Kentriki Makedonia,52.31,6.171735241502684
EL53,EL,Dytiki Makedonia,53.59,8.050089445438283
EL54,EL,Ipeiros,53.6,4.47227191413238
EL61,EL,Thessalia,52.85,5.992844364937389
EL62,EL,Ionia Nisia,48.97,7.334525939177102
EL63,EL,Dytiki Elláda,51.81,5.098389982110913
EL64,EL,Sterea Elláda,49.13,11.180679785330948
EL65,EL,Peloponnisos,49.42,7.8711985688729875
ES11,ES,Galicia,70.87,15.652951699463328
ES12,ES,Principado de Asturias,65.26,15.474060822898032
ES13,ES,Cantabria,57.58,15.921288014311273
ES21,ES,País Vasco,69.86,24.59749552772809
ES22,ES,Comunidad Foral de Navarra,63.94,22.719141323792485
ES23,ES,La Rioja,66.25,18.962432915921287
ES24,ES,Aragón,67.19,20.304114490161
ES30,ES,Comunidad de Madrid,67.36,26.923076923076923
ES41,ES,Castilla y León,64.57,16.63685152057245
ES42,ES,Castilla-La Mancha,61.91,12.701252236135955
ES43,ES,Extremadura,64.31,11.538461538461538
ES51,ES,Cataluña,65.51,21.64579606440072
ES52,ES,Comunitat Valenciana,70.01,14.400715563506262
ES53,ES,Illes Balears,67.48,18.962432915921287
ES61,ES,Andalucía,62.31,11.359570661896242
ES62,ES,Región de Murcia,67.9,13.237924865831843
ES63,ES,Ciudad de Ceuta,64.58,13.059033989266547
ES64,ES,Ciudad de Melilla,65.21,11.001788908765652
ES70,ES,Canarias,64.23,12.432915921288014
FI19,FI,Länsi-Suomi,81.07,30.85867620751341
FI1B,FI,Helsinki-Uusimaa,83.9,47.31663685152057
FI1C,FI,Etelä-Suomi,78.01,30.41144901610018
FI1D,FI,Pohjois- ja Itä-Suomi,83.57,29.516994633273704
FI20,FI,Åland,81.42,36.8515205724508
FR10,FR,Ile-de-France,62.48,48.658318425760285
FRB0,FR,Centre — Val de Loire,61.28,20.03577817531306
FRC1,FR,Bourgogne,66.56,21.46690518783542
FRC2,FR,Franche-Comté,65.75,18.6046511627907
FRD1,FR,Basse-Normandie,60.51,19.23076923076923
FRD2,FR,Haute-Normandie,59.6,22.450805008944545
FRE1,FR,Nord-Pas de Calais,57.66,20.6618962432916
FRE2,FR,Picardie,58.36,18.33631484794276
FRF1,FR,Alsace,63.69,23.613595706618963
FRF2,FR,Champagne-Ardenne,61.53,23.07692307692308
FRF3,FR,Lorraine,62.14,17.620751341681576
FRG0,FR,Pays de la Loire,69.16,23.70304114490161
FRH0,FR,Bretagne,67.62,22.271914132379248
FRI1,FR,Aquitaine,62.79,22.54025044722719
FRI2,FR,Limousin,61.71,17.79964221824687
FRI3,FR,Poitou-Charentes,61.97,20.572450805008945
FRJ1,FR,Languedoc-Roussillon,61.77,18.4257602862254
FRJ2,FR,Midi-Pyrénées,62.16,22.54025044722719
FRK1,FR,Auvergne,58.26,20.304114490161
FRK2,FR,Rhône-Alpes,60.09,26.56529516994633
FRL0,FR,Provence-Alpes-Côte d’Azur,62.05,27.99642218246869
FRM0,FR,Corse,55.87,18.4257602862254
FRY1,FR,Guadeloupe,45.28,15.026833631484797
FRY2,FR,Martinique,48.48,16.547406082289804
FRY3,FR,Guyane,34.95,6.350626118067979
FRY4,FR,La Réunion,55.1,14.311270125223611
FRY5,FR,Mayotte,36.49,2.683363148479428
HR02,HR,Panonska Hrvatska,35.68,2.23613595706619
HR03,HR,Jadranska Hrvatska,39.08,7.423971377459749
HR05,HR,Grad Zagreb,34.6,20.930232558139537
HR06,HR,Sjeverna Hrvatska,37.6,5.008944543828265
HU11,HU,Budapest,59.5,24.86583184257603
HU12,HU,Pest,53.87,5.813953488372093
HU21,HU,Közép-Dunántúl,51.24,6.887298747763864
HU22,HU,Nyugat-Dunántúl,50.02,6.350626118067979
HU23,HU,Dél-Dunántúl,51.5,3.1305903398926653
HU31,HU,Észak-Magyarország,43.14,2.59391771019678
HU32,HU,Észak-Alföld,43.86,2.59391771019678
HU33,HU,Dél-Alföld,42.65,3.756708407871199
IE04,IE,Northern and Western,69.65,32.11091234347048
IE05,IE,Southern,66.89,100.0
IE06,IE,Eastern and Midland,73.56,85.5098389982111
ITC1,IT,Piemonte,54.66,23.07692307692308
ITC2,IT,Valle d’Aosta/Vallée d’Aoste,55.85,31.663685152057244
ITC3,IT,Liguria,48.34,24.329159212880143
ITC4,IT,Lombardia,57.7,31.932021466905187
ITF1,IT,Abruzzo,56.15,16.63685152057245
ITF2,IT,Molise,59.21,14.579606440071556
ITF3,IT,Campania,53.77,11.449016100178891
ITF4,IT,Puglia,57.03,12.075134168157424
ITF5,IT,Basilicata,50.72,17.71019677996422
ITF6,IT,Calabria,55.85,9.838998211091234
ITG1,IT,Sicilia,44.41,10.37567084078712
ITG2,IT,Sardegna,58.35,13.864042933810376
ITH1,IT,Provincia Autonoma di Bolzano/Bozen,62.53,41.234347048300535
ITH2,IT,Provincia Autonoma di Trento,63.62,32.02146690518784
ITH3,IT,Veneto,58.66,25.670840787119857
ITH4,IT,Friuli-Venezia Giulia,60.18,24.59749552772809
ITH5,IT,Emilia-Romagna,61.86,28.08586762075134
ITI1,IT,Toscana,63.15,23.70304114490161
ITI2,IT,Umbria,64.04,17.71019677996422
ITI3,IT,Marche,62.03,20.03577817531306
ITI4,IT,Lazio,62.73,25.670840787119857
LT01,LT,Sostinės regionas,61.92,23.971377459749554
LT02,LT,Vidurio ir vakarų Lietuvos regionas,45.27,9.391771019677996
LU00,LU,Luxembourg,66.99,98.56887298747765
LV00,LV,Latvija,65.95,10.822898032200358
MT00,MT,Malta,64.81,21.73524150268336
NL11,NL,Groningen,76.25,41.50268336314848
NL12,NL,Friesland (NL),72.12,27.101967799642217
NL13,NL,Drenthe,72.83,25.402504472271914
NL21,NL,Overijssel,73.96,32.73703041144902
NL22,NL,Gelderland,76.29,32.64758497316637
NL23,NL,Flevoland,72.52,27.54919499105545
NL31,NL,Utrecht,75.75,51.43112701252236
NL32,NL,Noord-Holland,74.05,54.56171735241503
NL33,NL,Zuid-Holland,72.87,39.44543828264759
NL34,NL,Zeeland,71.52,33.4525939177102
NL41,NL,Noord-Brabant,75.24,41.50268336314848
NL42,NL,Limburg (NL),74.58,35.509838998211094
PL21,PL,Małopolskie,54.04,6.171735241502684
PL22,PL,Śląskie,50.7,8.676207513416816
PL41,PL,Wielkopolskie,50.52,8.765652951699463
PL42,PL,Zachodniopomorskie,52.2,5.098389982110913
PL43,PL,Lubuskie,52.53,5.098389982110913
PL51,PL,Dolnośląskie,52.13,9.749552772808586
PL52,PL,Opolskie,47.69,4.651162790697675
PL61,PL,Kujawsko-pomorskie,49.02,5.098389982110913
PL62,PL,Warmińsko-mazurskie,50.62,3.1305903398926653
PL63,PL,Pomorskie,55.25,7.8711985688729875
PL71,PL,Łódzkie,47.91,6.976744186046512
PL72,PL,Świętokrzyskie,48.04,3.2200357781753133
PL81,PL,Lubelskie,52.69,2.9516994633273703
PL82,PL,Podkarpackie,51.88,2.9516994633273703
PL84,PL,Podlaskie,53.12,3.8461538461538463
PL91,PL,Warszawski stołeczny,56.21,23.881932021466906
PL92,PL,Mazowiecki regionalny,52.64,6.618962432915922
PT11,PT,Norte,66.24,10.37567084078712
PT15,PT,Algarve,71.32,16.36851520572451
PT16,PT,Centro (PT),62.39,10.465116279069768
PT17,PT,Área Metropolitana de Lisboa,69.83,19.677996422182467
PT18,PT,Alentejo,63.97,11.80679785330948
PT20,PT,Região Autónoma dos Açores,55.21,11.270125223613595
PT30,PT,Região Autónoma da Madeira,56.0,13.595706618962431
RO11,RO,Nord-Vest,39.14,4.740608228980322
RO12,RO,Centru,38.46,5.008944543828265
RO21,RO,Nord-Est,33.21,0.5366726296958855
RO22,RO,Sud-Est,36.31,3.041144901610018
RO31,RO,Sud-Muntenia,30.35,2.5044722719141324
RO32,RO,Bucureşti-Ilfov,46.79,23.881932021466906
RO41,RO,Sud-Vest Oltenia,31.98,2.5044722719141324
RO42,RO,Vest,39.33,6.261180679785331
SE11,SE,Stockholm,84.63,56.61896243291592
SE12,SE,Östra Mellansverige,83.36,33.810375670840784
SE21,SE,Småland med öarna,79.16,33.631484794275494
SE22,SE,Sydsverige,79.4,33.09481216457961
SE23,SE,Västsverige,80.9,38.7298747763864
SE31,SE,Norra Mellansverige,79.75,32.02146690518784
SE32,SE,Mellersta Norrland,81.07,36.04651162790697
SE33,SE,Övre Norrland,81.79,44.00715563506261
SI03,SI,Vzhodna Slovenija,64.23,11.985688729874775
SI04,SI,Zahodna Slovenija,64.92,21.64579606440072
SK01,SK,Bratislavský kraj,61.92,29.159212880143112
SK02,SK,Západné Slovensko,44.73,8.765652951699463
SK03,SK,Stredné Slovensko,44.54,7.513416815742397
SK04,SK,Východné Slovensko,43.73,5.456171735241503
